Easting,Northing,Latitude,Longitude
1760350.000,5885015.000,-37.16752911,174.80605963
1867032.000,5715010.000,-38.67324708,176.06941119
1869261.000,5711486.000,-38.70428357,176.09636581
1884379.000,5770782.000,-38.16602975,176.24595912
1933518.000,5623356.000,-39.47476309,176.87708798
1765886.000,5878541.000,-37.22488894,174.86982151
1754254.000,5918542.000,-36.86646833,174.73056212
1699827.000,5678846.000,-39.03373746,174.15337834
1808628.000,5819850.000,-37.74487952,175.36789546
1760965.000,5919957.000,-36.85259906,174.80551892
1748984.000,5935924.000,-36.71068673,174.66806211
1773839.000,5881320.000,-37.19840453,174.95877128
1843058.000,5792236.000,-37.98498333,175.76757166
1563598.000,5184311.000,-43.49323458,172.54977060
1771838.000,5446138.000,-41.11787591,175.04680771
1749948.000,5946088.000,-36.61894662,174.67686256
1680353.000,5409656.000,-41.46065886,173.96215019
1708284.000,5682356.000,-39.00110829,174.25051055
1930935.000,5613540.000,-39.56400718,176.85200337
1769327.000,5907459.000,-36.96373969,174.90206277
1818760.000,5533644.000,-40.31908852,175.57468192
1807722.000,5871912.000,-37.27621270,175.34291090
1738806.000,5978422.000,-36.32924330,174.54650363
1925321.000,5599568.000,-39.69177040,176.79365672
1568976.000,5185299.000,-43.48458107,172.61634076
1572749.000,5182709.000,-43.50804884,172.66286821
1568401.000,5178543.000,-43.54538847,172.60883755
1407197.000,4918962.000,-45.85590727,170.51645408
1757400.000,5920942.000,-36.84432440,174.76534420
1573589.000,5179867.000,-43.53366873,172.67312163
1572355.000,5187708.000,-43.46302256,172.65824796
1748338.000,5426862.000,-41.29606186,174.77170699
1757321.000,5919507.000,-36.85726744,174.76475582
1821348.000,5530149.000,-40.34986169,175.60632212
1818019.000,5802984.000,-37.89456462,175.47947059
1802513.000,5813528.000,-37.80318882,175.30030752
1766663.000,5912928.000,-36.91494114,174.87094708
1757464.000,5920716.000,-36.84635009,174.76610854
1791111.000,5497863.000,-40.64797470,175.26030781
1750837.000,5915590.000,-36.89361973,174.69282966
1771125.000,5906162.000,-36.97509968,174.92254350
1769943.000,5909844.000,-36.94214103,174.90844248
1748949.000,5427247.000,-41.29248301,174.77890704
1769862.000,5914774.000,-36.89773858,174.90642690
1757025.000,5919442.000,-36.85790235,174.76145029
1746817.000,5918818.000,-36.86516675,174.64710582
1572671.000,5199961.000,-43.35270459,172.66276700
1734308.000,5945724.000,-36.62455974,174.50208241
1570889.000,5179156.000,-43.53997021,172.63966806
1405918.000,4914769.000,-45.89325139,170.49830255
1771345.000,5900037.000,-37.03024174,174.92640614
1796492.000,5526231.000,-40.39135426,175.31509621
1406512.000,4917605.000,-45.86791740,170.50709324
1756610.000,5920757.000,-36.84612256,174.75652577
1743700.000,5919350.000,-36.86085226,174.61204892
1927234.000,5602249.000,-39.66693699,176.81459027
1767318.000,5902954.000,-37.00468718,174.88050571
1932274.000,5609028.000,-39.60405218,176.86981442
1770336.000,5911305.000,-36.92890718,174.91252454
1686917.000,6086904.000,-35.35737136,173.95666212
1757575.000,5919779.000,-36.85477429,174.76754739
1826633.000,5533984.000,-40.31393016,175.66712872
1567834.000,5180294.000,-43.52959820,172.60192272
1705395.000,5680782.000,-39.01564173,174.21739733
1752880.000,5916612.000,-36.88408214,174.71554264
1757417.000,5919614.000,-36.85628734,174.76581005
1687488.000,6092884.000,-35.30340772,173.96230686
1933348.000,5618637.000,-39.51725234,176.87747563
1544698.000,5170622.000,-43.61532515,172.31463236
1755173.000,5914291.000,-36.90462112,174.74173807
1250430.000,4853176.000,-46.38452379,168.45364726
1756812.000,5919468.000,-36.85770346,174.75905659
1757215.000,5919382.000,-36.85841138,174.76359315
1557970.000,5182214.000,-43.51182054,172.48000372
1795065.000,5499715.000,-40.63037933,175.30646275
1407380.000,4919059.000,-45.85508623,170.51884792
1745063.000,5917750.000,-36.87506151,174.62763957
1801457.000,5814746.000,-37.79245305,175.28798289
1934180.000,5607200.000,-39.61974417,176.89288624
1406128.000,4916528.000,-45.87749376,170.50171638
1834488.000,5797126.000,-37.94321291,175.66849406
1746955.000,5939513.000,-36.67866177,174.64466430
1556271.000,5176729.000,-43.56110907,172.45854309
1572444.000,5186459.000,-43.47427207,172.65928498
1571132.000,5178319.000,-43.54751604,172.64263125
1748681.000,5427166.000,-41.29326169,174.77572756
1566054.000,5180095.000,-43.53131118,172.57988247
1622796.000,5429138.000,-41.28887338,173.27224394
1889502.000,5819854.000,-37.72284678,176.28460940
1801471.000,5813454.000,-37.80408572,175.28850090
1559460.000,5175774.000,-43.56988793,172.49795612
1555032.000,5176197.000,-43.56582540,172.44315846
1560009.000,5176578.000,-43.56267848,172.50481385
1800737.000,5813022.000,-37.80813796,175.28028919
1816675.000,5528540.000,-40.36556950,175.55189712
1757065.000,5920542.000,-36.84798429,174.76167128
1800299.000,5816430.000,-37.77754136,175.27437577
1571132.000,5179156.000,-43.53997964,172.64267576
1571130.000,5178871.000,-43.54254573,172.64263585
1759281.000,5906538.000,-36.97379178,174.78946127
